gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
A1BG,,-0.1239310612244901,0.0382953909399059,-3.236187389207379,0.0017534768378059,0.0040586188903264,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A1CF,,-0.5814193673469372,0.0868868947453035,-6.691680823112443,4.4084777175323125e-10,3.509089286865185e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2BP1,,-0.0443990408163266,0.0211264292971642,-2.1015875513940374,0.0376654634702422,0.0616214490869061,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2LD1,,-0.4079355510204081,0.0634649437189819,-6.427730446381806,5.811508030054284e-09,3.8538346870353685e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2M,,0.8029512653061222,0.0635044984338582,12.64400609576373,3.440673595502127e-25,2.447261586159161e-23,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
A2ML1,,-0.0390795306122453,0.0200645223223748,-1.9476930466800064,0.054357346306365,0.0848678863200648,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A3GALT2,,-0.0622497551020413,0.0260436642786802,-2.3902072471806486,0.0184475322920096,0.0329031395634532,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A4GALT,,-0.0521568571428572,0.02619798799371,-1.990872625614595,0.0487646964384661,0.0772445773867217,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A4GNT,,-0.0456855918367353,0.0362877529650637,-1.25898100884669,0.2105506979921596,0.2752788086088525,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAA1,,-0.0593779999999997,0.0199661488459199,-2.973933554148256,0.0037093040032206,0.0079407632360379,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAAS,,-0.1099906122448972,0.0499638448213224,-2.2014040880608525,0.029521518970519,0.0497160552979553,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AACS,,-0.1093061632653067,0.052226765680638,-2.092914654790304,0.0385468862084321,0.0628204440758247,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AACSL,,-0.0335815918367337,0.0360358870844634,-0.9318930253617128,0.3537306745148247,0.4288190527672395,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADAC,,0.0129655918367346,0.0278531285532531,0.4654985816744194,0.6423596568537512,0.7024194731504378,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AADACL2,,0.4161315102040817,0.043872480186312,9.4850236056158,8.254403904404562e-17,1.8106434370951944e-15,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AADACL3,,-0.0577453877551028,0.0359570271308152,-1.6059555631509628,0.1126857925369435,0.1605700860577313,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADACL4,,-0.0250469795918357,0.0270929346600121,-0.924483814918874,0.3575413645856966,0.4326948186430855,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADAT,,-0.0875826938775508,0.0530719800880613,-1.650262412147172,0.1012324468637774,0.1461002526333822,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAGAB,,0.0752786122448956,0.0532690948666641,1.413176109587045,0.1599175212134801,0.217146598481291,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AAK1,,0.0030524285714279,0.0291890310368535,0.1045745084026262,0.9168803253768666,0.934750556606101,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AAMP,,-0.1064177755102075,0.0374555168614983,-2.841177600184116,0.0052564248638736,0.010845409442023,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AANAT,,-0.0755906938775496,0.0301581638833874,-2.5064753335062515,0.0136088597264226,0.025124860776795,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AARS,,0.1840496938775517,0.049774418975577,3.697676390112359,0.0003381810794808,0.0009197127214582,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AARS2,,0.1811262857142863,0.0443652463163866,4.082616479182854,9.743116353590336e-05,0.0002995461575526,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AARSD1,,0.419328204081633,0.0825104119141428,5.08212472042886,1.4063305104672544e-06,6.237254348776269e-06,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASDH,,0.0395643265306109,0.0475559705858833,0.8319528766458459,0.4071696065880197,0.4828118147496977,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASDHPPT,,0.0986702857142853,0.0457014009428562,2.159021029522924,0.033008893015845,0.0548420002636727,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASS,,0.3140491428571432,0.0337387753038422,9.30825556140974,2.3215191441666722e-16,4.7528736026810136e-15,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AATF,,0.0609251836734694,0.0440143002172428,1.384213389120332,0.1695911164133864,0.2282957336334047,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AATK,,0.4296937142857135,0.1039746257798394,4.132678632530657,6.997647125750568e-05,0.0002218368319585,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABAT,,-0.5247106530612227,0.0726349867744564,-7.223938164820427,1.2056344141485714e-10,1.0549301123800003e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA1,,0.0179833877551036,0.0329793081749484,0.5452930564736385,0.5866972706133287,0.6531054743029571,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA10,,0.1317818571428564,0.0463605361142122,2.842543857090069,0.0053397331353625,0.0109995151895817,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA11P,,0.01038,0.0340450520028121,0.3048901202777618,0.7610228685273789,0.8066062912915439,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA12,,-0.0332850408163261,0.0225825941400084,-1.4739245903266982,0.1432024746421575,0.197373538896025,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA13,,-0.0518796734693878,0.0402406383376838,-1.2892358474543484,0.2012737327109639,0.2647862827897985,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA2,,-0.118967612244897,0.0215801083993329,-5.512836638419048,2.190988928988661e-07,1.1226165018284203e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA3,,0.1513156734693876,0.0354387572434649,4.269779338757451,4.926211489615629e-05,0.0001611045461392,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA4,,-0.0851167551020406,0.021761994063863,-3.911257160178234,0.000165545686857,0.0004829895614094,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA5,,0.11798689795918,0.0936259963111468,1.260193777453376,0.2099033800454408,0.2745456039063813,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA6,,0.1588086938775501,0.0285248620996712,5.567378146216538,1.346338793236101e-07,7.128556903007609e-07,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA7,,-0.0990368571428557,0.039129724561085,-2.5309878424584906,0.0126668950865865,0.0235870594081767,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA8,,0.1854599999999995,0.0405745894208366,4.570841076823279,1.0308977221341757e-05,3.896048556854844e-05,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA9,,0.2910761632653056,0.0325574162153889,8.94039506512567,2.248692601708818e-15,3.892282466957808e-14,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB1,,0.0352951836734698,0.0659253700138843,0.5353808960956367,0.5932021891768271,0.6589212812511982,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB10,,-0.3443506530612268,0.0446526413910226,-7.711764463063952,1.859701857578927e-11,1.82613323199086e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB11,,-0.2109566122448973,0.0613495146435888,-3.438602790428805,0.0009947305643362,0.0024362837593211,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB4,,0.0173307551020398,0.0247830152653963,0.6992996984607508,0.4860761471053856,0.5595459395941078,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB5,,-0.0329477346938773,0.0177862713464498,-1.85242505593809,0.0662294379312697,0.1009937929049636,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB7,,0.1170195918367369,0.0311024571879608,3.7623905767172943,0.0002619782950489,0.0007311736642821,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB8,,-0.0714320408163278,0.0254883511882627,-2.802536746638276,0.0058546592574688,0.0119337022012853,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB9,,-0.0779760612244904,0.0280538464077585,-2.7795140848466846,0.0064080562340576,0.0129274624598915,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC1,,0.3508073061224479,0.0773725252206361,4.534003577136497,1.6642291532890654e-05,6.036754253881464e-05,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC10,,0.2399153469387762,0.0455775827361212,5.263889230980166,7.402282949168511e-07,3.4662928517503308e-06,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC11,,-0.0842736530612238,0.0261627863512043,-3.221126829915979,0.0017788863730584,0.0041117350986528,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC12,,-0.0432500612244903,0.0232884190041618,-1.857148878022216,0.0665234105896433,0.10134467415801,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC13,,-0.3515721632653052,0.0841682157076141,-4.177018133384296,5.738942469119714e-05,0.00018545394537,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC2,,0.0208970816326536,0.0283712167872733,0.7365592314682673,0.4629817984231895,0.537379507557762,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC3,,-0.0759855510204037,0.0823481568681085,-0.9227352974287528,0.3578486794506455,0.4330116845719918,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC4,,0.1919496122448976,0.0514209310989608,3.73290813959564,0.0003057310376129,0.0008412021612935,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC5,,0.1652595714285718,0.045645897125037,3.6204693485567625,0.0004544858247659,0.0012020294629176,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC6P1,,-0.2603744897959203,0.0922459596776969,-2.8226113176734957,0.0057066988434728,0.011657069625547,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC8,,-0.07524669387755,0.0302538168433309,-2.4871801884441243,0.0142017288373808,0.0260828510720296,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC9,,0.1127866530612244,0.0424297949549192,2.658194629058608,0.0087325444037885,0.0169712815604913,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD1,,0.0015231428571413,0.0505335207824833,0.0301412376093407,0.9760007916828104,0.9820872568248976,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD2,,0.022822326530612,0.0179606911853473,1.2706819740451256,0.2062733216266155,0.270429253168819,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD3,,-0.7024082857142844,0.0909956125528749,-7.7191445390417615,1.218584671670791e-11,1.2207804943930878e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCD4,,-0.2248002857142848,0.0535536021057751,-4.19766881918187,5.578346974533446e-05,0.0001806936481713,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCE1,,-0.0923749795918364,0.0481697883197531,-1.9176953608068068,0.0576143629814915,0.0893376880175582,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCF1,,0.2441678163265308,0.0354563598667116,6.886432144879287,4.825689018417782e-10,3.822009938048027e-09,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCF2,,0.1027485102040817,0.0478501243580763,2.147298707840024,0.0338302232531503,0.0560236900054973,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCF3,,0.006132877551022,0.0299356326455371,0.2048688138193199,0.838091710183738,0.8710298123306971,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCG1,,-0.3969489387755125,0.0769323384260354,-5.159714976779871,8.27020482542757e-07,3.8359244793213376e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCG2,,-0.8850454081632684,0.1382524346241729,-6.401662369051121,2.237687907429577e-09,1.596312392561227e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCG4,,-0.0626562448979584,0.0251299295200302,-2.493291708121074,0.0144231413019098,0.0264359463215598,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCG5,,-0.0933860816326541,0.0543950328528712,-1.7168126708415945,0.0883038375397008,0.129840533381412,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCG8,,-0.1033086938775498,0.0319918089100003,-3.2292232730002444,0.0016631654918421,0.0038679212122479,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD1,,0.0277850204081628,0.0269468044956389,1.0311063195882668,0.3049514620703125,0.3780127498579915,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABHD10,,-0.4189903673469421,0.0564065331611257,-7.428046785823413,3.144468619029497e-11,2.99503164113665e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD11,,-0.2555788367346947,0.0763246109041096,-3.3485770016671434,0.0010891081001496,0.0026414455668137,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD12,,-0.2355573469387764,0.0561409266758518,-4.195822208258948,5.8403564605522034e-05,0.0001884113639595,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD12B,,-0.3357821224489803,0.081985599749035,-4.095623176226534,0.0001076159962898,0.0003278413710974,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD13,,-0.1348311224489808,0.0348950975371126,-3.8638987125793594,0.000192629969637,0.0005529435582525,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD14A,,0.4372498775510198,0.0665542928007702,6.569822308230725,1.6156422535743046e-09,1.1777116580419129e-08,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABHD14B,,-0.2403242040816344,0.0565237800429907,-4.25173624090337,5.349887636744784e-05,0.0001738257006887,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD15,,-0.3664967755102024,0.0577220719707639,-6.349335063644841,5.9230893904470035e-09,3.9226303302299465e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD2,,-0.0100836122448972,0.0626163974358744,-0.1610378855670182,0.8723075235917377,0.8988870081283047,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD3,,-0.5769116938775536,0.0866212537928088,-6.660163281144374,5.30650780037952e-10,4.178490840331931e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD4,,-0.1662818367346941,0.0321514568094585,-5.1718290004755225,1.6098576209644055e-06,7.051228227090473e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD5,,-0.7750269591836734,0.0783214984672017,-9.895456220212983,1.2609011072789662e-16,2.6966684027600618e-15,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD6,,-0.1530962448979571,0.0581360750402523,-2.63341212477719,0.0098476780359847,0.0188440377628612,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABHD8,,-0.155391877551021,0.0371603233363188,-4.1816610728773655,5.845396096638328e-05,0.0001885100638211,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABI1,,-0.3190200000000009,0.0357750147406962,-8.917396744971747,3.2206547043798693e-15,5.4362824088114114e-14,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABI2,,0.0817062040816329,0.0300868874280391,2.715674869228502,0.0074175859311018,0.0146840129058202,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABI3,,-0.0337923673469378,0.0779004632915812,-0.43378904205554,0.6651576608050653,0.7234021740862766,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABI3BP,,1.5412566326530597,0.1052272036542359,14.6469408967423,3.3167974311032564e-29,4.154725203171448e-27,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABL1,,-0.1118942448979618,0.0539458324626214,-2.074196277821689,0.0401751204812345,0.0651007909755493,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABL2,,0.2788814693877559,0.0386575709401874,7.214148809795954,8.654455875179825e-11,7.68925990963247e-10,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABLIM1,,-0.1338378775510227,0.0602470604173121,-2.2214839466684437,0.0282221004134022,0.0478451421842381,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABLIM2,,-0.2008687346938789,0.0539174081230356,-3.725489441842439,0.0003364894063977,0.0009161673527546,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABLIM3,,0.0974850612244901,0.0410421887862303,2.375240310214557,0.0196569217314715,0.0347541823537206,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABO,,-0.0856522857142856,0.0512129002224705,-1.6724748128344484,0.0977994398163001,0.1417124302969828,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABP1,,-0.0428647755102051,0.0959026286662392,-0.4469614243774625,0.6556346131206175,0.7148009066546357,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABR,,0.0128704285714311,0.0473434296750941,0.2718524758294364,0.7862518883161664,0.8278166309190339,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABRA,,-0.0022404489795926,0.0205350095663322,-0.1091038683159862,0.9133467624093244,0.932295877686081,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABT1,,-0.1366546530612238,0.0331677310975231,-4.1201085675537374,7.01170535061962e-05,0.0002222454967134,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABTB1,,0.0144360000000016,0.0505755623342501,0.2854342954131721,0.7758815352833549,0.8192992308687859,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABTB2,,0.1454446122448986,0.0526540552797366,2.762268005231336,0.0065356006231816,0.0131554959155701,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACAA1,,-0.2470062653061244,0.0631545009174304,-3.911142701120637,0.0001427828247827,0.0004226655758495,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAA2,,-0.5928307346938748,0.0822668548719144,-7.206191796403107,3.93225474017111e-11,3.695465461641557e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACACA,,-0.0218953469387757,0.0357727990113622,-0.6120669207858528,0.5417589793349692,0.6123169278486177,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACACB,,-0.0544391836734683,0.0399261817574124,-1.3634958635472714,0.1755090440152315,0.2350821103095327,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAD10,,0.1018743061224496,0.0390246752061431,2.6105100320325763,0.0101217404691146,0.0193026781382153,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACAD8,,-0.189371367346939,0.0269377911827074,-7.029951567391485,2.7214217035297736e-10,2.247976973327848e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAD9,,0.086073877551021,0.0467254679509051,1.8421191124604572,0.0683549329979261,0.103695157699029,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACADL,,0.0008130612244903,0.019678496674218,0.0413172427726941,0.9671185053732958,0.9751078342675044,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACADM,,-0.8666601224489812,0.0708457928648907,-12.233049944148116,1.3954666196268448e-22,7.029017047009293e-21,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACADS,,-0.5831770204081614,0.0801115374770715,-7.279563453329932,2.484276779601889e-11,2.3949686017022764e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACADSB,,-0.355730755102039,0.0517420487042521,-6.875080597123803,6.075367613489463e-10,4.748563192152684e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACADVL,,-0.3253917551020455,0.0522112572119765,-6.232214516133216,6.203414918129691e-09,4.0968789469715335e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAN,,0.0116108163265304,0.0230828801552764,0.5030055282714111,0.6161675501654398,0.6791218613690289,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACAP1,,-0.0259743265306111,0.0753716477664194,-0.3446166735150452,0.7309929457085053,0.7807317937000022,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAP2,,-0.3609222244897951,0.0547514794988132,-6.592008614079883,2.315297133574389e-09,1.6427401634442674e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAP3,,-0.019095510204083,0.0350188466197891,-0.545292379598025,0.5865727776037041,0.6530050684426432,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAT1,,-0.1944844081632633,0.0250313246790129,-7.76964106603295,2.5870064745809226e-12,2.863756004419812e-11,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACAT2,,-0.2222786122449047,0.0796577975023357,-2.790418756410971,0.0060467537059998,0.0122840756871902,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACBD3,,0.1065491224489747,0.0568194481523346,1.8752227611101284,0.0636094753818325,0.0974277541042629,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACBD4,,-0.2623236530612227,0.0501880462096012,-5.226815404721587,1.1884013910966109e-06,5.355541416918218e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACBD5,,-0.3175947551020437,0.0477877946544518,-6.645938725537258,5.639446650596547e-10,4.427837700097249e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACBD6,,0.1555140204081615,0.048903531192955,3.180016179088609,0.0017997826455651,0.0041572075180833,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACBD7,,-0.1586991836734723,0.0304509146700567,-5.2116393019066125,1.2998645855668156e-06,5.811087510963176e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCN1,,-0.0248982857142854,0.0276967363642733,-0.8989609962277816,0.3712572028137067,0.4467945857766877,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCN2,,0.0368815918367357,0.0312149041293937,1.1815378859999737,0.2399745574006534,0.3077674506876223,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACCN3,,-0.0304233469387766,0.0382285911796596,-0.7958270498590624,0.4280993468287993,0.5033415375547856,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCN4,,-0.1776866530612242,0.0357813867347495,-4.965896218009397,3.3199036042981583e-06,1.3702788776465842e-05,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCN5,,-0.0663136734693878,0.0271825633978848,-2.439566589019634,0.016904913051238,0.0304368363589194,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCS,,-0.1079351428571433,0.0310873020368131,-3.4720009709857798,0.0008263109112849,0.0020630684173701,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACCSL,,-0.0526650612244909,0.0295008434711754,-1.7852052696713123,0.0775544746031583,0.1158237662910137,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACD,,-0.0978039591836714,0.031450612273069,-3.1097632801069657,0.0024318711999417,0.0054583081040776,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACE,,-0.0745689183673476,0.0312663732279372,-2.3849558061540246,0.0192442972142461,0.03413369524997,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACE2,,-0.0339655510204108,0.130283640450915,-0.260704651043333,0.794728472606564,0.8353555326503798,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACER1,,-0.0502049795918368,0.0332725347647764,-1.5089015594022563,0.1344345054151307,0.1872405095340831,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACER2,,-0.0525865714285718,0.0330100671581792,-1.59304648417057,0.1144553604298481,0.1627991978622672,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACER3,,-0.6012278163265288,0.0748627185576299,-8.031071111366314,8.021642129365936e-13,9.563686045280366e-12,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACHE,,0.0592898163265296,0.0403520496170118,1.4693136256834392,0.1444812944109998,0.1988955133819273,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACIN1,,0.21517195918367,0.0519236836444741,4.144004124533437,6.67629139961942e-05,0.0002123919603153,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACLY,,0.3066619183673476,0.0382279540662544,8.021928608469572,1.5398356376626819e-12,1.7534970419316667e-11,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ACMSD,,-0.0438977959183675,0.0348574488243469,-1.2593519433845126,0.2110905052732823,0.2759277234932923,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACN9,,-0.7101971020408175,0.0599614795429085,-11.844222448390363,1.142353939014001e-22,5.8001117330204216e-21,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ACO1,,-0.0389977346938748,0.0542325271468552,-0.7190838551239477,0.4742650822257491,0.5482916129052325,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
